"slug_or_file","surface","finding","disposition"
"rcda-type-air-cooled-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/41.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/42.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcde-type-oil-cooled-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/55.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/40.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/52.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","source-data","https://www.cnmagnetics.com/n-14/39.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rct-type-fully-magnetic-drum","source-data","https://www.cnmagnetics.com/n-12/14.html|https://www.cnmagnetics.com/n-14/51.html|merged","blocked from public rendering; source requires evidence migration"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","source-data","https://www.cnmagnetics.com/n-14/48.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-14/43.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcye-type-permanent-magnet-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-12/5.html|https://www.cnmagnetics.com/n-14/61.html|merged","blocked from public rendering; source requires evidence migration"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","source-data","https://www.cnmagnetics.com/n-14/46.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","source-data","https://www.cnmagnetics.com/n-14/59.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-14/44.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","source-data","https://www.cnmagnetics.com/n-14/47.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"cqz-type-fully-automatic-online-magnetic-separation","source-data","https://www.cnmagnetics.com/n-13/19.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctb-wet-semi-countercurrent-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/20.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"dcx-wet-fully-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/36.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"dcz-type-dry-fully-automatic-magnetic-separation","source-data","https://www.cnmagnetics.com/n-13/31.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"gtc-wet-plate-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/35.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/34.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hjpc-wet-disc-magnetic-separation","source-data","https://www.cnmagnetics.com/n-13/28.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"clt-type-magnetic-desliming-tank","source-data","https://www.cnmagnetics.com/n-12/9.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctb-type-semi-countercurrent-wet-selection-machine","source-data","https://www.cnmagnetics.com/n-12/4.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","source-data","https://www.cnmagnetics.com/n-12/10.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctn-type-full-countercurrent-wet-magnetic-separator","source-data","https://www.cnmagnetics.com/n-12/17.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"cts-type-downstream-wet-pre-selection-machine","source-data","https://www.cnmagnetics.com/n-12/3.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctzs-type-upward-suction-magnetic-separator","source-data","https://www.cnmagnetics.com/n-12/15.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hcg-type-dry-pre-selection-machine","source-data","https://www.cnmagnetics.com/n-12/6.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","source-data","https://www.cnmagnetics.com/n-12/13.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ljk-type-magnetic-ore-special-iron-remover","source-data","https://www.cnmagnetics.com/n-12/2.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"nct-type-concentrated-magnetic-separator","source-data","https://www.cnmagnetics.com/n-12/8.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"wbc-semi-magnetic-tailings-recovery-machine","source-data","https://www.cnmagnetics.com/n-12/7.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctn-type-specialized-magnetic-separator-for-coal-washing","source-data","https://www.cnmagnetics.com/n-16/78.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hmdn-coal-washing-special-magnetic-separator","source-data","https://www.cnmagnetics.com/n-16/79.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"dls-type-window-metal-detector","source-data","https://www.cnmagnetics.com/n-14/37.html|https://www.cnmagnetics.com/n-15/64.html|merged","blocked from public rendering; source requires evidence migration"
"gjt-type-window-metal-detector","source-data","https://www.cnmagnetics.com/n-14/38.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hecp-eddy-current-metal-sorting-machine","source-data","https://www.cnmagnetics.com/n-12/16.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"hecs-type-eddy-current-metal-sorting-machine","source-data","https://www.cnmagnetics.com/n-12/1.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"drum-magnet","source-data","https://www.chnmag.com/product/Drum-Magnet-15.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"eccentric-eddy-current-separator","source-data","https://www.chnmag.com/product/Eccentric-Eddy-Current-Separator-14.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"electromagnet-separator","source-data","https://www.chnmag.com/product/Electromagnet-Separator-29.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"magnetic-head-pulley","source-data","https://www.chnmag.com/product/Magnetic-Head-Pulley-30.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"permanent-overband-magnetic-separator","source-data","https://www.chnmag.com/product/Permanent-Overband-Magnetic-Separator-16.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"stainless-steel-separation-conveyor","source-data","https://www.chnmag.com/product/Stainless-Steel-Separation-Conveyor-17.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"cbs-drawer-type-magnetic-filter","source-data","https://www.cnmagnetics.com/n-13/26.html|https://www.cnmagnetics.com/n-15/67.html|merged","blocked from public rendering; source requires evidence migration"
"clc-type-wet-slot-magnetic-filter","source-data","https://www.cnmagnetics.com/n-15/70.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctq-type-roller-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/29.html|https://www.cnmagnetics.com/n-15/75.html|merged","blocked from public rendering; source requires evidence migration"
"cyg-wet-pipeline-magnetic-filter","source-data","https://www.cnmagnetics.com/n-13/27.html|https://www.cnmagnetics.com/n-15/71.html|merged","blocked from public rendering; source requires evidence migration"
"rcyz-type-pipeline-magnetic-filter","source-data","https://www.cnmagnetics.com/n-15/69.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"clc-type-slot-magnetic-filter","source-data","https://www.cnmagnetics.com/n-13/32.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"dhd-type-roller-type-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/33.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"dhj-type-strong-roller-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/30.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"qcg-wet-roller-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/21.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"drawer-magnet","source-data","https://www.chnmag.com/product/Drawer-Magnet-18.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"hump-magnet","source-data","https://www.chnmag.com/product/Hump-Magnet-19.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"magnetic-grid","source-data","https://www.chnmag.com/product/Magnetic-Grid-20.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"magnetic-rod","source-data","https://www.chnmag.com/product/Magnetic-Rod-21.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"magnetic-trap","source-data","https://www.chnmag.com/product/Magnetic-Trap-22.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"rotary-pipe-magnet","source-data","https://www.chnmag.com/product/Rotary-Pipe-Magnet-23.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"high-frequency-screen","source-data","https://www.chnmag.com/product/27.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"kgla-series-rectifier-control-box","source-data","https://www.cnmagnetics.com/n-14/50.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","source-data","https://www.cnmagnetics.com/n-16/81.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","source-data","https://www.cnmagnetics.com/n-16/82.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-16/80.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-16/77.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-16/76.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"app/[locale]/products/[category]/[productSlug]/page.tsx","public-json-ld","isRelatedTo removed","fixed"
"app/[locale]/news/[slug]/page.tsx","public-html","internal SEO/GEO labels suppressed","fixed"
