"slug","missing_fields","public_fallback","priority"
"stainless-steel-separation-conveyor","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cbs-drawer-type-magnetic-filter","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"clc-type-wet-slot-magnetic-filter","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctq-type-roller-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cyg-wet-pipeline-magnetic-filter","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcyz-type-pipeline-magnetic-filter","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"clc-type-slot-magnetic-filter","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dhd-type-roller-type-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dhj-type-strong-roller-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"qcg-wet-roller-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"drawer-magnet","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hump-magnet","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"magnetic-grid","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"magnetic-rod","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"magnetic-trap","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rotary-pipe-magnet","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"permanent-filter-bar-magnetic-neodymium-rod","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"high-frequency-screen","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"kgla-series-rectifier-control-box","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"round-electromagnetic-lifting-magnet","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
