"slug","name","category","public_url","image_count","spec_count","truth_review_status"
"gls-type-integral-channel-metal-separator","GLS type integral channel metal separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator","9","4","engineering_review_required"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum","11","1","engineering_review_required"
"ctz-type-midfield-strong-semi-magnetic-drum","CTZ type midfield strong semi magnetic drum","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum","10","3","engineering_review_required"
"rcda-type-air-cooled-electromagnetic-iron-remover","RCDA type air-cooled electromagnetic iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover","8","2","engineering_review_required"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","10","2","engineering_review_required"
"rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover","9","1","engineering_review_required"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","9","2","engineering_review_required"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","9","1","engineering_review_required"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover","7","1","engineering_review_required"
"rct-type-fully-magnetic-drum","RCT type fully magnetic drum","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum","11","4","engineering_review_required"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover","8","3","engineering_review_required"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover","9","2","engineering_review_required"
"rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover","11","0","engineering_review_required"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","8","1","engineering_review_required"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","8","2","engineering_review_required"
"rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","RCYP type permanent magnet manual self dumping iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","8","1","engineering_review_required"
"rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","RCYZ type vertical pipeline permanent magnet iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","8","1","engineering_review_required"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation","7","1","engineering_review_required"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator","7","1","engineering_review_required"
"dcx-wet-fully-automatic-magnetic-separator","DCX wet fully automatic magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator","8","1","engineering_review_required"
"dcz-type-dry-fully-automatic-magnetic-separation","DCZ type dry fully automatic magnetic separation","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation","8","2","engineering_review_required"
"gtc-wet-plate-magnetic-separator","GTC wet plate magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator","10","1","engineering_review_required"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","HJLH wet vertical ring high gradient magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator","7","1","engineering_review_required"
"hjpc-wet-disc-magnetic-separation","HJPC wet disc magnetic separation","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation","7","1","engineering_review_required"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank","7","1","engineering_review_required"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine","8","1","engineering_review_required"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","8","1","engineering_review_required"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator","8","1","engineering_review_required"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine","8","1","engineering_review_required"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator","8","1","engineering_review_required"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine","7","3","engineering_review_required"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation","7","1","engineering_review_required"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover","7","1","engineering_review_required"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator","8","1","engineering_review_required"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine","8","1","engineering_review_required"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing","8","1","engineering_review_required"
"hmdn-coal-washing-special-magnetic-separator","HMDN coal washing special magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator","5","1","engineering_review_required"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator","1","4","engineering_review_required"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator","1","4","engineering_review_required"
"dls-type-window-metal-detector","DLS type window metal detector","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/dls-type-window-metal-detector","11","3","engineering_review_required"
"gjt-type-window-metal-detector","GJT type window metal detector","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/gjt-type-window-metal-detector","8","2","engineering_review_required"
"hecp-eddy-current-metal-sorting-machine","HECP eddy current metal sorting machine","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine","8","3","engineering_review_required"
"hecs-type-eddy-current-metal-sorting-machine","HECS type eddy current metal sorting machine","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine","8","1","engineering_review_required"
"drum-magnet","Drum Magnet","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/drum-magnet","20","1","engineering_review_required"
"eccentric-eddy-current-separator","Eccentric Eddy Current Separator","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/eccentric-eddy-current-separator","18","9","engineering_review_required"
"electromagnet-separator","Electromagnet Separator","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/electromagnet-separator","18","6","engineering_review_required"
"magnetic-head-pulley","Magnetic Head Pulley","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/magnetic-head-pulley","14","2","engineering_review_required"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator","26","5","engineering_review_required"
"stainless-steel-separation-conveyor","Stainless Steel Separation Conveyor","Metal Detection & Recycling Sorting","https://cowinmagnet.cl/es-cl/products/metal-detection-and-recycling-sorting/stainless-steel-separation-conveyor","16","6","engineering_review_required"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/cbs-drawer-type-magnetic-filter","12","5","engineering_review_required"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/clc-type-wet-slot-magnetic-filter","6","2","engineering_review_required"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/ctq-type-roller-automatic-magnetic-separator","11","0","engineering_review_required"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/cyg-wet-pipeline-magnetic-filter","9","6","engineering_review_required"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/rcyz-type-pipeline-magnetic-filter","8","1","engineering_review_required"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/clc-type-slot-magnetic-filter","7","2","engineering_review_required"
"dhd-type-roller-type-automatic-magnetic-separator","DHD type roller type automatic magnetic separator","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/dhd-type-roller-type-automatic-magnetic-separator","8","1","engineering_review_required"
"dhj-type-strong-roller-automatic-magnetic-separator","DHJ type strong roller automatic magnetic separator","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/dhj-type-strong-roller-automatic-magnetic-separator","8","1","engineering_review_required"
"qcg-wet-roller-magnetic-separator","QCG wet roller magnetic separator","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/qcg-wet-roller-magnetic-separator","9","1","engineering_review_required"
"drawer-magnet","Drawer Magnet","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/drawer-magnet","8","4","engineering_review_required"
"hump-magnet","Hump Magnet","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/hump-magnet","8","0","engineering_review_required"
"magnetic-grid","Magnetic Grid","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/magnetic-grid","8","0","engineering_review_required"
"magnetic-rod","Magnetic Rod","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/magnetic-rod","8","0","engineering_review_required"
"magnetic-trap","Magnetic Trap","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/magnetic-trap","8","2","engineering_review_required"
"rotary-pipe-magnet","Rotary Pipe Magnet","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/rotary-pipe-magnet","8","0","engineering_review_required"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","Magnetic Components & Filters","https://cowinmagnet.cl/es-cl/products/magnetic-components-and-filters/permanent-filter-bar-magnetic-neodymium-rod","1","4","engineering_review_required"
"high-frequency-screen","High Frequency Screen","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/high-frequency-screen","11","0","engineering_review_required"
"kgla-series-rectifier-control-box","KGLA series rectifier control box","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box","7","1","engineering_review_required"
"kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","KXB mining explosion-proof electromagnetic iron remover control box","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","8","2","engineering_review_required"
"qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","QJZ mining explosion-proof permanent magnet iron remover control box","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","8","0","engineering_review_required"
"rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","RBCDB explosion-proof disc type electromagnetic iron remover","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","7","1","engineering_review_required"
"rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","RBCDD explosion-proof electromagnetic self dumping iron remover","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","8","1","engineering_review_required"
"rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","RBCYD explosion-proof permanent magnet self dumping iron remover","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","9","1","engineering_review_required"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","Industry Application Equipment","https://cowinmagnet.cl/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet","1","4","engineering_review_required"
