Nombre público en español,Serie,Modelo,URL actual,Categoría,Tipo magnético,Modo de limpieza,Estado de suministro,Especificaciones confirmadas,Campos pendientes,Aplicaciones,Imágenes,Estado de autorización,Estado de contenido
RCYDII: Separador magnético permanente autolimpiante,RCYDII,RCYDII,/es-cl/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover,Magnetic Separation Equipment,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYE: Separador magnético permanente autolimpiante,RCYE,RCYE,/es-cl/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover,Magnetic Separation Equipment,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYF: Filtro y componente magnético para proceso,RCYF,RCYF,/es-cl/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYG: Filtro y componente magnético para proceso,RCYG,RCYG,/es-cl/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYP: Separador magnético permanente autolimpiante,RCYP,RCYP,/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Magnetic Separation Equipment,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYZ: Filtro y componente magnético para proceso,RCYZ,RCYZ,/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CQZ: Filtro y componente magnético para proceso,CQZ,CQZ,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTB: Separador magnético para proceso húmedo,CTB,CTB,/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
DCX: Filtro y componente magnético para proceso,DCX,DCX,/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
DCZ: Filtro y componente magnético para proceso,DCZ,DCZ,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
GTC: Separador magnético para proceso seco,GTC,GTC,/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,10,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
HJLH: Separador magnético para proceso seco,HJLH,HJLH,/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
HJPC: Separador magnético para proceso seco,HJPC,HJPC,/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CLT: Separador magnético para proceso seco,CLT,CLT,/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTB: Separador magnético para proceso húmedo,CTB,CTB,/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTDG: Separador magnético para proceso seco,CTDG,CTDG,/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTN: Separador magnético para proceso húmedo,CTN,CTN,/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTS: Separador magnético para proceso húmedo,CTS,CTS,/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso seco,Por confirmar,,/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine,Magnetic Separation Equipment,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
HJLH: Separador magnético para proceso seco,HJLH,HJLH,/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
LJK: Separador magnético para proceso seco,LJK,LJK,/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
NCT: Separador magnético para proceso seco,NCT,NCT,/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
WBC: Separador magnético para proceso seco,WBC,WBC,/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTN: Separador magnético para proceso húmedo,CTN,CTN,/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
HMDN: Separador magnético para proceso húmedo,HMDN,HMDN,/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,5,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator,Magnetic Separation Equipment,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,1,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador electromagnético suspendido,Por confirmar,,/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator,Magnetic Separation Equipment,electromagnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,1,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
DLS: Detector de metales para proceso industrial,DLS,DLS,/es-cl/products/metal-detection-recycling-sorting/dls-type-window-metal-detector,Metal Detection & Recycling Sorting,deteccion_metal,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ventana de detección | Producto de prueba | Velocidad | Alarma e interbloqueo,Protección de proceso | Correas transportadoras | Control de contaminación metálica,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
GJT: Detector de metales para proceso industrial,GJT,GJT,/es-cl/products/metal-detection-recycling-sorting/gjt-type-window-metal-detector,Metal Detection & Recycling Sorting,deteccion_metal,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ventana de detección | Producto de prueba | Velocidad | Alarma e interbloqueo,Protección de proceso | Correas transportadoras | Control de contaminación metálica,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador por corrientes de Foucault,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/hecp-eddy-current-metal-sorting-machine,Metal Detection & Recycling Sorting,corrientes_foucault,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Tamaño de alimentación | Capacidad | Configuración de rotor | Divisor de producto,Reciclaje de metales | Clasificación de materiales | Recuperación de no ferrosos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador por corrientes de Foucault,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine,Metal Detection & Recycling Sorting,corrientes_foucault,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Tamaño de alimentación | Capacidad | Configuración de rotor | Divisor de producto,Reciclaje de metales | Clasificación de materiales | Recuperación de no ferrosos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético permanente suspendido,Por confirmar,,/es-cl/products/metal-detection-recycling-sorting/drum-magnet,Metal Detection & Recycling Sorting,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,20,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
