slug,campo,motivo,tratamiento_publico
cts-type-wet-co-current-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cts-type-wet-co-current-magnetic-separator,Porcentaje de sólidos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cts-type-wet-co-current-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cxj-drum-type-automatic-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cxj-drum-type-automatic-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cxj-drum-type-automatic-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cxj-drum-type-automatic-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcz-type-dry-fully-automatic-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcz-type-dry-fully-automatic-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcz-type-dry-fully-automatic-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcz-type-dry-fully-automatic-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
gls-type-integral-channel-metal-separator,Ventana de detección,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
gls-type-integral-channel-metal-separator,Producto de prueba,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
gls-type-integral-channel-metal-separator,Velocidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
gls-type-integral-channel-metal-separator,Alarma e interbloqueo,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgt-type-super-strong-full-magnetic-drum,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgt-type-super-strong-full-magnetic-drum,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgt-type-super-strong-full-magnetic-drum,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgt-type-super-strong-full-magnetic-drum,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgt-type-super-strong-full-magnetic-drum,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctz-type-midfield-strong-semi-magnetic-drum,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctz-type-midfield-strong-semi-magnetic-drum,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctz-type-midfield-strong-semi-magnetic-drum,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctz-type-midfield-strong-semi-magnetic-drum,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctz-type-midfield-strong-semi-magnetic-drum,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcda-type-air-cooled-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcda-type-air-cooled-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcda-type-air-cooled-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcda-type-air-cooled-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcda-type-air-cooled-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcde-type-oil-cooled-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcde-type-oil-cooled-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcde-type-oil-cooled-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcde-type-oil-cooled-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcde-type-oil-cooled-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rct-type-fully-magnetic-drum,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rct-type-fully-magnetic-drum,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rct-type-fully-magnetic-drum,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rct-type-fully-magnetic-drum,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rct-type-fully-magnetic-drum,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcydii-type-permanent-magnet-self-dumping-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcydii-type-permanent-magnet-self-dumping-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcydii-type-permanent-magnet-self-dumping-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcydii-type-permanent-magnet-self-dumping-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcydii-type-permanent-magnet-self-dumping-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcye-type-permanent-magnet-self-dumping-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcye-type-permanent-magnet-self-dumping-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcye-type-permanent-magnet-self-dumping-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcye-type-permanent-magnet-self-dumping-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcye-type-permanent-magnet-self-dumping-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separation,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separation,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separation,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separation,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctb-wet-semi-countercurrent-magnetic-separator,Mineralogía,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctb-wet-semi-countercurrent-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctb-wet-semi-countercurrent-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctb-wet-semi-countercurrent-magnetic-separator,Porcentaje de sólidos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctb-wet-semi-countercurrent-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcx-wet-fully-automatic-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcx-wet-fully-automatic-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcx-wet-fully-automatic-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcx-wet-fully-automatic-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dcz-type-dry-fully-automatic-magnetic-separation,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
