slug,url,titulo_es,estado_idioma,hallazgo,prioridad
cgt-type-super-strong-full-magnetic-drum,/es-cl/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum,CGT: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctz-type-midfield-strong-semi-magnetic-drum,/es-cl/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum,CTZ: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcda-type-air-cooled-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover,RCDA: Separador electromagnético suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,RCDC: Separador electromagnético autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcde-type-oil-cooled-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover,RCDE: Separador electromagnético suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,RCDF: Separador electromagnético autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,RCDFJ: Separador electromagnético autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover,RCPS: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rct-type-fully-magnetic-drum,/es-cl/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum,RCT: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover,RCYA: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcydii-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover,RCYDII: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcye-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover,RCYE: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,RCYF: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,RCYG: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,RCYP: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,RCYZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cqz-type-fully-automatic-online-magnetic-separation,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation,CQZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctb-wet-semi-countercurrent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator,CTB: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dcx-wet-fully-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator,DCX: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dcz-type-dry-fully-automatic-magnetic-separation,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation,DCZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
gtc-wet-plate-magnetic-separator,/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator,GTC: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hjlh-wet-vertical-ring-high-gradient-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator,HJLH: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hjpc-wet-disc-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation,HJPC: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
clt-type-magnetic-desliming-tank,/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank,CLT: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctb-type-semi-countercurrent-wet-selection-machine,/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine,CTB: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,CTDG: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctn-type-full-countercurrent-wet-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator,CTN: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cts-type-downstream-wet-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine,CTS: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctzs-type-upward-suction-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator,Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hcg-type-dry-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hjlh-type-vertical-ring-high-gradient-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation,HJLH: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ljk-type-magnetic-ore-special-iron-remover,/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover,LJK: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
nct-type-concentrated-magnetic-separator,/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator,NCT: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
wbc-semi-magnetic-tailings-recovery-machine,/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine,WBC: Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctn-type-specialized-magnetic-separator-for-coal-washing,/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing,CTN: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hmdn-coal-washing-special-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator,HMDN: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
suspended-permanent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
suspended-electromagnetic-conveyor-belt-separator,/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator,Separador electromagnético suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dls-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/dls-type-window-metal-detector,DLS: Detector de metales para proceso industrial,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
gjt-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/gjt-type-window-metal-detector,GJT: Detector de metales para proceso industrial,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hecp-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecp-eddy-current-metal-sorting-machine,Separador por corrientes de Foucault,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hecs-type-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine,Separador por corrientes de Foucault,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
drum-magnet,/es-cl/products/metal-detection-recycling-sorting/drum-magnet,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
eccentric-eddy-current-separator,/es-cl/products/metal-detection-recycling-sorting/eccentric-eddy-current-separator,Separador por corrientes de Foucault,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
electromagnet-separator,/es-cl/products/metal-detection-recycling-sorting/electromagnet-separator,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
magnetic-head-pulley,/es-cl/products/metal-detection-recycling-sorting/magnetic-head-pulley,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
permanent-overband-magnetic-separator,/es-cl/products/metal-detection-recycling-sorting/permanent-overband-magnetic-separator,Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
stainless-steel-separation-conveyor,/es-cl/products/metal-detection-recycling-sorting/stainless-steel-separation-conveyor,Separador por corrientes de Foucault,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cbs-drawer-type-magnetic-filter,/es-cl/products/magnetic-components-filters/cbs-drawer-type-magnetic-filter,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
clc-type-wet-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-wet-slot-magnetic-filter,CLC: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctq-type-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/ctq-type-roller-automatic-magnetic-separator,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cyg-wet-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/cyg-wet-pipeline-magnetic-filter,CYG: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyz-type-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/rcyz-type-pipeline-magnetic-filter,RCYZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
clc-type-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-slot-magnetic-filter,CLC: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dhd-type-roller-type-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhd-type-roller-type-automatic-magnetic-separator,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dhj-type-strong-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhj-type-strong-roller-automatic-magnetic-separator,Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
qcg-wet-roller-magnetic-separator,/es-cl/products/magnetic-components-filters/qcg-wet-roller-magnetic-separator,Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
drawer-magnet,/es-cl/products/magnetic-components-filters/drawer-magnet,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
hump-magnet,/es-cl/products/magnetic-components-filters/hump-magnet,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
magnetic-grid,/es-cl/products/magnetic-components-filters/magnetic-grid,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
magnetic-rod,/es-cl/products/magnetic-components-filters/magnetic-rod,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
magnetic-trap,/es-cl/products/magnetic-components-filters/magnetic-trap,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rotary-pipe-magnet,/es-cl/products/magnetic-components-filters/rotary-pipe-magnet,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
permanent-filter-bar-magnetic-neodymium-rod,/es-cl/products/magnetic-components-filters/permanent-filter-bar-magnetic-neodymium-rod,Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
high-frequency-screen,/es-cl/products/industry-application-equipment/high-frequency-screen,Equipo auxiliar para integración de proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
kgla-series-rectifier-control-box,/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box,KGLA: Equipo auxiliar para integración de proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,KXB: Equipo auxiliar para integración de proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,QJZ: Equipo auxiliar para integración de proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,RBCDB: Separador electromagnético suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,RBCDD: Separador electromagnético autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,RBCYD: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
round-electromagnetic-lifting-magnet,/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet,Equipo auxiliar para integración de proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
