slug,url,estado,hallazgos,accion
rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcps-self-dumping-disc-type-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rct-type-fully-magnetic-drum,/es-cl/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum,sin_fuga_detectada,,Mantener comprobación de regresión
rcya-type-inclined-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcydii-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcye-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
cqz-type-fully-automatic-online-magnetic-separation,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation,sin_fuga_detectada,,Mantener comprobación de regresión
ctb-wet-semi-countercurrent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
dcx-wet-fully-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
dcz-type-dry-fully-automatic-magnetic-separation,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation,sin_fuga_detectada,,Mantener comprobación de regresión
gtc-wet-plate-magnetic-separator,/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
hjlh-wet-vertical-ring-high-gradient-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
hjpc-wet-disc-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation,sin_fuga_detectada,,Mantener comprobación de regresión
clt-type-magnetic-desliming-tank,/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank,sin_fuga_detectada,,Mantener comprobación de regresión
ctb-type-semi-countercurrent-wet-selection-machine,/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine,sin_fuga_detectada,,Mantener comprobación de regresión
ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
ctn-type-full-countercurrent-wet-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cts-type-downstream-wet-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine,sin_fuga_detectada,,Mantener comprobación de regresión
ctzs-type-upward-suction-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
hcg-type-dry-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine,sin_fuga_detectada,,Mantener comprobación de regresión
hjlh-type-vertical-ring-high-gradient-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation,sin_fuga_detectada,,Mantener comprobación de regresión
ljk-type-magnetic-ore-special-iron-remover,/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
nct-type-concentrated-magnetic-separator,/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
wbc-semi-magnetic-tailings-recovery-machine,/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine,sin_fuga_detectada,,Mantener comprobación de regresión
ctn-type-specialized-magnetic-separator-for-coal-washing,/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing,sin_fuga_detectada,,Mantener comprobación de regresión
hmdn-coal-washing-special-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
suspended-permanent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
suspended-electromagnetic-conveyor-belt-separator,/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator,sin_fuga_detectada,,Mantener comprobación de regresión
dls-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/dls-type-window-metal-detector,sin_fuga_detectada,,Mantener comprobación de regresión
gjt-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/gjt-type-window-metal-detector,sin_fuga_detectada,,Mantener comprobación de regresión
hecp-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecp-eddy-current-metal-sorting-machine,sin_fuga_detectada,,Mantener comprobación de regresión
hecs-type-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine,sin_fuga_detectada,,Mantener comprobación de regresión
drum-magnet,/es-cl/products/metal-detection-recycling-sorting/drum-magnet,sin_fuga_detectada,,Mantener comprobación de regresión
eccentric-eddy-current-separator,/es-cl/products/metal-detection-recycling-sorting/eccentric-eddy-current-separator,sin_fuga_detectada,,Mantener comprobación de regresión
electromagnet-separator,/es-cl/products/metal-detection-recycling-sorting/electromagnet-separator,sin_fuga_detectada,,Mantener comprobación de regresión
magnetic-head-pulley,/es-cl/products/metal-detection-recycling-sorting/magnetic-head-pulley,sin_fuga_detectada,,Mantener comprobación de regresión
permanent-overband-magnetic-separator,/es-cl/products/metal-detection-recycling-sorting/permanent-overband-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
stainless-steel-separation-conveyor,/es-cl/products/metal-detection-recycling-sorting/stainless-steel-separation-conveyor,sin_fuga_detectada,,Mantener comprobación de regresión
cbs-drawer-type-magnetic-filter,/es-cl/products/magnetic-components-filters/cbs-drawer-type-magnetic-filter,sin_fuga_detectada,,Mantener comprobación de regresión
clc-type-wet-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-wet-slot-magnetic-filter,sin_fuga_detectada,,Mantener comprobación de regresión
ctq-type-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/ctq-type-roller-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cyg-wet-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/cyg-wet-pipeline-magnetic-filter,sin_fuga_detectada,,Mantener comprobación de regresión
rcyz-type-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/rcyz-type-pipeline-magnetic-filter,sin_fuga_detectada,,Mantener comprobación de regresión
clc-type-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-slot-magnetic-filter,sin_fuga_detectada,,Mantener comprobación de regresión
dhd-type-roller-type-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhd-type-roller-type-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
dhj-type-strong-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhj-type-strong-roller-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
qcg-wet-roller-magnetic-separator,/es-cl/products/magnetic-components-filters/qcg-wet-roller-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
drawer-magnet,/es-cl/products/magnetic-components-filters/drawer-magnet,sin_fuga_detectada,,Mantener comprobación de regresión
hump-magnet,/es-cl/products/magnetic-components-filters/hump-magnet,sin_fuga_detectada,,Mantener comprobación de regresión
magnetic-grid,/es-cl/products/magnetic-components-filters/magnetic-grid,sin_fuga_detectada,,Mantener comprobación de regresión
magnetic-rod,/es-cl/products/magnetic-components-filters/magnetic-rod,sin_fuga_detectada,,Mantener comprobación de regresión
magnetic-trap,/es-cl/products/magnetic-components-filters/magnetic-trap,sin_fuga_detectada,,Mantener comprobación de regresión
rotary-pipe-magnet,/es-cl/products/magnetic-components-filters/rotary-pipe-magnet,sin_fuga_detectada,,Mantener comprobación de regresión
permanent-filter-bar-magnetic-neodymium-rod,/es-cl/products/magnetic-components-filters/permanent-filter-bar-magnetic-neodymium-rod,sin_fuga_detectada,,Mantener comprobación de regresión
high-frequency-screen,/es-cl/products/industry-application-equipment/high-frequency-screen,sin_fuga_detectada,,Mantener comprobación de regresión
kgla-series-rectifier-control-box,/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box,sin_fuga_detectada,,Mantener comprobación de regresión
kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,sin_fuga_detectada,,Mantener comprobación de regresión
qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,sin_fuga_detectada,,Mantener comprobación de regresión
rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
round-electromagnetic-lifting-magnet,/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet,sin_fuga_detectada,,Mantener comprobación de regresión
